date,,date,state,fips,cases,deaths
2020-01-22,1,2020-01-22,Washington,53,1,0
2020-01-23,2,2020-01-23,Washington,53,1,0
2020-01-24,3,2020-01-24,Illinois,17,1,0
2020-01-24,4,2020-01-24,Washington,53,1,0
2020-01-25,5,2020-01-25,California,6,1,0
2020-01-25,6,2020-01-25,Illinois,17,1,0
2020-01-25,7,2020-01-25,Washington,53,1,0
2020-01-26,9,2020-01-26,California,6,2,0
2020-01-26,8,2020-01-26,Arizona,4,1,0
2020-01-26,10,2020-01-26,Illinois,17,1,0
2020-01-26,11,2020-01-26,Washington,53,1,0
2020-01-27,13,2020-01-27,California,6,2,0
2020-01-27,12,2020-01-27,Arizona,4,1,0
2020-01-27,14,2020-01-27,Illinois,17,1,0
2020-01-27,15,2020-01-27,Washington,53,1,0
2020-01-28,17,2020-01-28,California,6,2,0
2020-01-28,16,2020-01-28,Arizona,4,1,0
2020-01-28,18,2020-01-28,Illinois,17,1,0
2020-01-28,19,2020-01-28,Washington,53,1,0
2020-01-29,21,2020-01-29,California,6,2,0
2020-01-29,20,2020-01-29,Arizona,4,1,0
2020-01-29,22,2020-01-29,Illinois,17,1,0
2020-01-29,23,2020-01-29,Washington,53,1,0
2020-01-30,25,2020-01-30,California,6,2,0
2020-01-30,26,2020-01-30,Illinois,17,2,0
2020-01-30,24,2020-01-30,Arizona,4,1,0
2020-01-30,27,2020-01-30,Washington,53,1,0
2020-01-31,29,2020-01-31,California,6,3,0
2020-01-31,30,2020-01-31,Illinois,17,2,0
2020-01-31,28,2020-01-31,Arizona,4,1,0
2020-01-31,31,2020-01-31,Washington,53,1,0
2020-02-01,33,2020-02-01,California,6,3,0
2020-02-01,34,2020-02-01,Illinois,17,2,0
2020-02-01,32,2020-02-01,Arizona,4,1,0
2020-02-01,35,2020-02-01,Massachusetts,25,1,0
2020-02-01,36,2020-02-01,Washington,53,1,0
2020-02-02,38,2020-02-02,California,6,6,0
2020-02-02,39,2020-02-02,Illinois,17,2,0
2020-02-02,37,2020-02-02,Arizona,4,1,0
2020-02-02,40,2020-02-02,Massachusetts,25,1,0
2020-02-02,41,2020-02-02,Washington,53,1,0
2020-02-03,43,2020-02-03,California,6,6,0
2020-02-03,44,2020-02-03,Illinois,17,2,0
2020-02-03,42,2020-02-03,Arizona,4,1,0
2020-02-03,45,2020-02-03,Massachusetts,25,1,0
2020-02-03,46,2020-02-03,Washington,53,1,0
2020-02-04,48,2020-02-04,California,6,6,0
2020-02-04,49,2020-02-04,Illinois,17,2,0
2020-02-04,47,2020-02-04,Arizona,4,1,0
2020-02-04,50,2020-02-04,Massachusetts,25,1,0
2020-02-04,51,2020-02-04,Washington,53,1,0
2020-02-05,53,2020-02-05,California,6,6,0
2020-02-05,54,2020-02-05,Illinois,17,2,0
2020-02-05,52,2020-02-05,Arizona,4,1,0
2020-02-05,55,2020-02-05,Massachusetts,25,1,0
2020-02-05,56,2020-02-05,Washington,53,1,0
2020-02-05,57,2020-02-05,Wisconsin,55,1,0
2020-02-06,59,2020-02-06,California,6,6,0
2020-02-06,60,2020-02-06,Illinois,17,2,0
2020-02-06,58,2020-02-06,Arizona,4,1,0
2020-02-06,61,2020-02-06,Massachusetts,25,1,0
2020-02-06,62,2020-02-06,Washington,53,1,0
2020-02-06,63,2020-02-06,Wisconsin,55,1,0
2020-02-07,65,2020-02-07,California,6,6,0
2020-02-07,66,2020-02-07,Illinois,17,2,0
2020-02-07,64,2020-02-07,Arizona,4,1,0
2020-02-07,67,2020-02-07,Massachusetts,25,1,0
2020-02-07,68,2020-02-07,Washington,53,1,0
2020-02-07,69,2020-02-07,Wisconsin,55,1,0
2020-02-08,71,2020-02-08,California,6,6,0
2020-02-08,72,2020-02-08,Illinois,17,2,0
2020-02-08,70,2020-02-08,Arizona,4,1,0
2020-02-08,73,2020-02-08,Massachusetts,25,1,0
2020-02-08,74,2020-02-08,Washington,53,1,0
2020-02-08,75,2020-02-08,Wisconsin,55,1,0
2020-02-09,77,2020-02-09,California,6,6,0
2020-02-09,78,2020-02-09,Illinois,17,2,0
2020-02-09,76,2020-02-09,Arizona,4,1,0
2020-02-09,79,2020-02-09,Massachusetts,25,1,0
2020-02-09,80,2020-02-09,Washington,53,1,0
2020-02-09,81,2020-02-09,Wisconsin,55,1,0
2020-02-10,83,2020-02-10,California,6,7,0
2020-02-10,84,2020-02-10,Illinois,17,2,0
2020-02-10,82,2020-02-10,Arizona,4,1,0
2020-02-10,85,2020-02-10,Massachusetts,25,1,0
2020-02-10,86,2020-02-10,Washington,53,1,0
2020-02-10,87,2020-02-10,Wisconsin,55,1,0
2020-02-11,89,2020-02-11,California,6,7,0
2020-02-11,90,2020-02-11,Illinois,17,2,0
2020-02-11,88,2020-02-11,Arizona,4,1,0
2020-02-11,91,2020-02-11,Massachusetts,25,1,0
2020-02-11,92,2020-02-11,Washington,53,1,0
2020-02-11,93,2020-02-11,Wisconsin,55,1,0
2020-02-12,95,2020-02-12,California,6,7,0
2020-02-12,96,2020-02-12,Illinois,17,2,0
